epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6071.81,0.76286,0.53763,0.01808,0.91322,0.86932,0.94228,0.78812,0.70642,0.42009,0.01667,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,6263.53,0.73521,0.49611,0.017,0.91552,0.86581,0.94281,0.79663,0.67968,0.41427,0.01581,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,6454.41,0.72843,0.4576,0.01679,0.94212,0.86744,0.94732,0.80863,0.66391,0.39345,0.01531,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,6645.12,0.70531,0.4413,0.01602,0.92422,0.90267,0.95499,0.81353,0.66253,0.36429,0.01496,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,6835.86,0.69375,0.41776,0.01572,0.94603,0.89261,0.95362,0.80893,0.66294,0.36857,0.01513,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,7027,0.67789,0.40916,0.01538,0.931,0.8928,0.95354,0.81489,0.64609,0.36583,0.01476,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,7217.75,0.66998,0.39777,0.01537,0.95722,0.88019,0.95543,0.81906,0.64293,0.35846,0.01473,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,7408.28,0.65842,0.37123,0.01505,0.92429,0.91709,0.95704,0.81937,0.63689,0.35277,0.0145,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,7599.49,0.64428,0.37165,0.01454,0.93022,0.91056,0.95717,0.8207,0.62625,0.34836,0.01423,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,7790.62,0.63061,0.35188,0.01409,0.9467,0.90176,0.9584,0.82607,0.61715,0.34567,0.01393,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
