epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6054.68,0.76544,0.51117,0.01936,0.88401,0.87815,0.93787,0.78284,0.71844,0.444,0.018,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,6244.28,0.73733,0.45895,0.01811,0.95416,0.83393,0.94154,0.79371,0.68815,0.42387,0.01686,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,6433.74,0.71694,0.4441,0.01747,0.9284,0.87357,0.94957,0.80403,0.68019,0.38755,0.01659,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,6622.89,0.70337,0.40908,0.01688,0.93802,0.88854,0.94792,0.81034,0.65966,0.37637,0.01584,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,6812.26,0.68188,0.39375,0.01627,0.91926,0.89886,0.94905,0.81247,0.64148,0.37812,0.01552,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,7002.27,0.66496,0.37798,0.01599,0.93439,0.89556,0.95528,0.81817,0.635,0.36313,0.01496,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,7191.07,0.65139,0.37042,0.0156,0.93418,0.89178,0.95305,0.8186,0.6311,0.36178,0.01507,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,7380.86,0.64165,0.35682,0.01532,0.9356,0.89351,0.9538,0.81776,0.62746,0.35849,0.01496,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,7570.65,0.62786,0.34549,0.01494,0.92319,0.89835,0.95473,0.82378,0.6281,0.35316,0.01502,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,7760.64,0.62006,0.33526,0.01456,0.96832,0.86628,0.95684,0.82879,0.61668,0.34658,0.01472,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
